id,type,code,name,description,details,quantity,tags,size,discount,discounted-price,price
1,fins,frost-white-fins,Frost White,White foot pocket and translucent white blade freediving spearfishing long fins,"Long diving fins with mesh bag,High reflex blade design,Excellent kick responsiveness,Drainage hold channel water better",5,"foot pocket: white, blade: translucent","33-35,36-38,39-40",0,3550,3550
2,fins,pearl-white-fins,Pearl White,Full white freediving spearfishing long fins,"Long diving fins with mesh bag,High reflex blade design,Excellent kick responsiveness,Drainage hold channel water better",15,"foot pocket: white, blade: white","33-35,36-38,39-40",0,3550,3300
3,fins,ebony-white-fins,Ebony White,White foot pocket black freediving spearfishing long fins,"Long diving fins with mesh bag,High reflex blade design,Excellent kick responsiveness,Drainage hold channel water better",5,"foot pocket: white, blade: black","33-35,36-38,39-40",0,3300,3300
4,fins,black-crappie-fins,Black Crappie,Full black freediving spearfishing long fins,"Long diving fins with mesh bag,High reflex blade design,Excellent kick responsiveness,Drainage hold channel water better",5,"foot pocket: black, blade: black","39-40,41-42",0,3300,3300
5,fins,frost-black-fins,Frost Black,Black foot pocket with translucent white blade freediving spearfishing long fins,"Long diving fins with mesh bag,High reflex blade design,Excellent kick responsiveness,Drainage hold channel water better",5,"foot pocket: black, blade: translucent","39-40,41-42",0,3550,3550
6,fins,ebony-black-fins,Ebony Black,Black foot pocket with translucent white blade freediving spearfishing long fins,"Long diving fins with mesh bag,High reflex blade design,Excellent kick responsiveness,Drainage hold channel water better",5,"foot pocket: black, blade: white","39-40,41-42",0,3300,3300
7,mask,annularis-mask-blue,Annularis,Lake blue low volume free diving mask with J-valve snorkel,"Freediving mask,Top quality silicone,Low volume free diving mask,Anti UV-400 and anti resin lens,Liquid Silicone,HD Lens,Anti-fog,Snugfit",5,color: lake blue,One size,0,1300,1300
8,mask,pink-maomao-mask-pink,Pink Maomao,Baby pink low volume free diving mask with J-valve snorkel,"Freediving mask,Top quality silicone,Low volume free diving mask,Anti UV-400 and anti resin lens,Liquid Silicone,HD Lens,Anti-fog,Snugfit",5,color: soft pink,One size,0,1300,1300
9,mask,perch-mask-black-green,Perch,Black with neon green frame low volume free diving mask with J-valve snorkel,"Freediving mask,Top quality silicone,Low volume free diving mask,Anti UV-400 and anti resin lens,Liquid Silicone,HD Lens,Anti-fog,Snugfit",5,color: black w/ neon frame,One size,0,1200,1200
10,mask,jacks-mask-white,Jacks,Full white low volume free diving mask with J-valve snorkel,"Freediving mask,Top quality silicone,Low volume free diving mask,Anti UV-400 and anti resin lens,Liquid Silicone,HD Lens,Anti-fog,Snugfit",10,color : pure white,One size,0,1200,1200
11,mask,black-bass-mask-black,Black Bass,Full black low volume free diving mask with J-valve snorkel,"Freediving mask,Top quality silicone,Low volume free diving mask,Anti UV-400 and anti resin lens,Liquid Silicone,HD Lens,Anti-fog,Snugfit",10,color : black,One size,0,1200,1200
12,mask,mackerel-mask-transparent-black,Mackerel,Transparent with black frame low volume freediving mask with J-valve snorkel,"Freediving mask,Top quality silicone,Low volume free diving mask,Anti UV-400 and anti resin lens,Liquid Silicone,HD Lens,Anti-fog,Snugfit",5,color : transparent w/ black frame,One size,0,1300,1300
13,mask,execoe-mask-transparent-white,Execoe,Transparent with white frame low volume freediving mask with J-valve snorkel,"Freediving mask,Top quality silicone,Low volume free diving mask,Anti UV-400 and anti resin lens,Liquid Silicone,HD Lens,Anti-fog,Snugfit",5,color: transparent w/ white frame,One size,0,1300,1300
14,mask,threadfin-mask-white-pink,Threadfin,White with pink frame low volume free diving mask with J-valve snorkel,"Freediving mask,Top quality silicone,Low volume free diving mask,Anti UV-400 and anti resin lens,Liquid Silicone,HD Lens,Anti-fog,Snugfit",5,color: white w/ pink frame,One size,0,1200,1200
